[0218/150440:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/214408:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214408:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214408:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214408:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214409:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214409:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214409:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214409:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214409:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214409:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214644:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/214644:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/214644:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/214644:INFO:CONSOLE(8)] "The key "target-densitydpi" is not supported.", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/index.html?mode=internal (8)
[0218/214644:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[0218/214645:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/214645:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/214646:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/214646:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/214646:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/214646:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
